Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","13","Bahrain","513","Total Population - Female","3010","Population - Est. & Proj.","2017","2017","1000 persons","554.227","X","International reliable sources",""
"OA","Annual population","13","Bahrain","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","998.976","X","International reliable sources",""
"OA","Annual population","13","Bahrain","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","570.464","X","International reliable sources",""
"OA","Annual population","16","Bangladesh","512","Total Population - Male","3010","Population - Est. & Proj.","2016","2016","1000 persons","80048.91","X","International reliable sources",""
"OA","Annual population","16","Bangladesh","513","Total Population - Female","3010","Population - Est. & Proj.","2016","2016","1000 persons","77928.241","X","International reliable sources",""
"OA","Annual population","16","Bangladesh","512","Total Population - Male","3010","Population - Est. & Proj.","2017","2017","1000 persons","80869.068","X","International reliable sources",""
"OA","Annual population","16","Bangladesh","513","Total Population - Female","3010","Population - Est. & Proj.","2017","2017","1000 persons","78816.353","X","International reliable sources",""
"OA","Annual population","16","Bangladesh","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","81677.117","X","International reliable sources",""
"OA","Annual population","16","Bangladesh","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","79699.596","X","International reliable sources",""
"OA","Annual population","14","Barbados","512","Total Population - Male","3010","Population - Est. & Proj.","2016","2016","1000 persons","137.902","X","International reliable sources",""
"OA","Annual population","14","Barbados","513","Total Population - Female","3010","Population - Est. & Proj.","2016","2016","1000 persons","147.896","X","International reliable sources",""
"OA","Annual population","14","Barbados","512","Total Population - Male","3010","Population - Est. & Proj.","2017","2017","1000 persons","138.223","X","International reliable sources",""
"OA","Annual population","14","Barbados","513","Total Population - Female","3010","Population - Est. & Proj.","2017","2017","1000 persons","148.006","X","International reliable sources",""
"OA","Annual population","14","Barbados","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","138.525","X","International reliable sources",""
"OA","Annual population","14","Barbados","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","148.115","X","International reliable sources",""
"OA","Annual population","57","Belarus","512","Total Population - Male","3010","Population - Est. & Proj.","2016","2016","1000 persons","4395.949","X","International reliable sources",""
"OA","Annual population","57","Belarus","513","Total Population - Female","3010","Population - Est. & Proj.","2016","2016","1000 persons","5049.689","X","International reliable sources",""
"OA","Annual population","57","Belarus","512","Total Population - Male","3010","Population - Est. & Proj.","2017","2017","1000 persons","4398.367","X","International reliable sources",""
"OA","Annual population","57","Belarus","513","Total Population - Female","3010","Population - Est. & Proj.","2017","2017","1000 persons","5051.866","X","International reliable sources",""
"OA","Annual population","57","Belarus","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","4399.62","X","International reliable sources",""
"OA","Annual population","57","Belarus","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","5052.995","X","International reliable sources",""
"OA","Annual population","255","Belgium","512","Total Population - Male","3010","Population - Est. & Proj.","2016","2016","1000 persons","5588.791","X","International reliable sources",""
"OA","Annual population","255","Belgium","513","Total Population - Female","3010","Population - Est. & Proj.","2016","2016","1000 persons","5765.616","X","International reliable sources",""
"OA","Annual population","255","Belgium","512","Total Population - Male","3010","Population - Est. & Proj.","2017","2017","1000 persons","5631.006","X","International reliable sources",""
"OA","Annual population","255","Belgium","513","Total Population - Female","3010","Population - Est. & Proj.","2017","2017","1000 persons","5788.746","X","International reliable sources",""
"OA","Annual population","255","Belgium","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","5672.964","X","International reliable sources",""
"OA","Annual population","255","Belgium","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","5809.216","X","International reliable sources",""
"OA","Annual population","23","Belize","512","Total Population - Male","3010","Population - Est. & Proj.","2016","2016","1000 persons","183.752","X","International reliable sources",""
"OA","Annual population","23","Belize","513","Total Population - Female","3010","Population - Est. & Proj.","2016","2016","1000 persons","184.647","X","International reliable sources",""
"OA","Annual population","23","Belize","512","Total Population - Male","3010","Population - Est. & Proj.","2017","2017","1000 persons","187.296","X","International reliable sources",""
"OA","Annual population","23","Belize","513","Total Population - Female","3010","Population - Est. & Proj.","2017","2017","1000 persons","188.479","X","International reliable sources",""
"OA","Annual population","23","Belize","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","190.798","X","International reliable sources",""
"OA","Annual population","23","Belize","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","192.273","X","International reliable sources",""
"OA","Annual population","53","Benin","512","Total Population - Male","3010","Population - Est. & Proj.","2016","2016","1000 persons","5420.569","X","International reliable sources",""
"OA","Annual population","53","Benin","513","Total Population - Female","3010","Population - Est. & Proj.","2016","2016","1000 persons","5451.503","X","International reliable sources",""
"OA","Annual population","53","Benin","512","Total Population - Male","3010","Population - Est. & Proj.","2017","2017","1000 persons","5574.297","X","International reliable sources",""
"OA","Annual population","53","Benin","513","Total Population - Female","3010","Population - Est. & Proj.","2017","2017","1000 persons","5600.895","X","International reliable sources",""
"OA","Annual population","53","Benin","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","5731.239","X","International reliable sources",""
"OA","Annual population","53","Benin","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","5753.796","X","International reliable sources",""
"OA","Annual population","18","Bhutan","512","Total Population - Male","3010","Population - Est. & Proj.","2016","2016","1000 persons","389.21","X","International reliable sources",""
"OA","Annual population","18","Bhutan","513","Total Population - Female","3010","Population - Est. & Proj.","2016","2016","1000 persons","347.496","X","International reliable sources",""
"OA","Annual population","18","Bhutan","512","Total Population - Male","3010","Population - Est. & Proj.","2017","2017","1000 persons","394.499","X","International reliable sources",""
"OA","Annual population","18","Bhutan","513","Total Population - Female","3010","Population - Est. & Proj.","2017","2017","1000 persons","351.064","X","International reliable sources",""
"OA","Annual population","18","Bhutan","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","399.81","X","International reliable sources",""
"OA","Annual population","18","Bhutan","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","354.586","X","International reliable sources",""
"OA","Annual population","19","Bolivia (Plurinational State of)","512","Total Population - Male","3010","Population - Est. & Proj.","2016","2016","1000 persons","5543.317","X","International reliable sources",""
"OA","Annual population","19","Bolivia (Plurinational State of)","513","Total Population - Female","3010","Population - Est. & Proj.","2016","2016","1000 persons","5488.505","X","International reliable sources",""
"OA","Annual population","19","Bolivia (Plurinational State of)","512","Total Population - Male","3010","Population - Est. & Proj.","2017","2017","1000 persons","5622.487","X","International reliable sources",""
"OA","Annual population","19","Bolivia (Plurinational State of)","513","Total Population - Female","3010","Population - Est. & Proj.","2017","2017","1000 persons","5570.366","X","International reliable sources",""
"OA","Annual population","19","Bolivia (Plurinational State of)","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","5701.161","X","International reliable sources",""
"OA","Annual population","19","Bolivia (Plurinational State of)","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","5651.979","X","International reliable sources",""
"OA","Annual population","80","Bosnia and Herzegovina","512","Total Population - Male","3010","Population - Est. & Proj.","2016","2016","1000 persons","1659.723","X","International reliable sources",""
"OA","Annual population","80","Bosnia and Herzegovina","513","Total Population - Female","3010","Population - Est. & Proj.","2016","2016","1000 persons","1726.54","X","International reliable sources",""
"OA","Annual population","80","Bosnia and Herzegovina","512","Total Population - Male","3010","Population - Est. & Proj.","2017","2017","1000 persons","1642.272","X","International reliable sources",""
"OA","Annual population","80","Bosnia and Herzegovina","513","Total Population - Female","3010","Population - Est. & Proj.","2017","2017","1000 persons","1709.262","X","International reliable sources",""
"OA","Annual population","80","Bosnia and Herzegovina","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","1628.375","X","International reliable sources",""
"OA","Annual population","80","Bosnia and Herzegovina","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","1695.554","X","International reliable sources",""
"OA","Annual population","20","Botswana","512","Total Population - Male","3010","Population - Est. & Proj.","2016","2016","1000 persons","1039.714","X","International reliable sources",""
"OA","Annual population","20","Botswana","513","Total Population - Female","3010","Population - Est. & Proj.","2016","2016","1000 persons","1120.211","X","International reliable sources",""
"OA","Annual population","20","Botswana","512","Total Population - Male","3010","Population - Est. & Proj.","2017","2017","1000 persons","1062.469","X","International reliable sources",""
"OA","Annual population","20","Botswana","513","Total Population - Female","3010","Population - Est. & Proj.","2017","2017","1000 persons","1142.607","X","International reliable sources",""
"OA","Annual population","20","Botswana","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","1088.021","X","International reliable sources",""
"OA","Annual population","20","Botswana","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","1166.046","X","International reliable sources",""
"OA","Annual population","21","Brazil","512","Total Population - Male","3010","Population - Est. & Proj.","2016","2016","1000 persons","101450.192","X","International reliable sources",""
"OA","Annual population","21","Brazil","513","Total Population - Female","3010","Population - Est. & Proj.","2016","2016","1000 persons","104712.864","X","International reliable sources",""
"OA","Annual population","21","Brazil","512","Total Population - Male","3010","Population - Est. & Proj.","2017","2017","1000 persons","102232.088","X","International reliable sources",""
"OA","Annual population","21","Brazil","513","Total Population - Female","3010","Population - Est. & Proj.","2017","2017","1000 persons","105601.737","X","International reliable sources",""
"OA","Annual population","21","Brazil","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","102996.239","X","International reliable sources",""
"OA","Annual population","21","Brazil","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","106473.081","X","International reliable sources",""
"OA","Annual population","26","Brunei Darussalam","512","Total Population - Male","3010","Population - Est. & Proj.","2016","2016","1000 persons","218.376","X","International reliable sources",""
